NAME,AUTHORS,YEAR,TITLE,JOURNAL,VOLUME,PAGES
Abdi Talib Abdalla,"Ibwe K., Pande S., Abdalla A. T., Gadiel G. M.",2023,Indoor positioning using circle expansion-based adaptive trilateration algorithm,Journal of Electrical Systems and Information Technology,10,10
Abdi Talib Abdalla,"Abdalla A., Haji N.",2023,Smart Fishing Gear to Enhance the Blue Economy,N/A,N/A,N/A
Alfred John Mwambela,Mwambela A. J.,2023,Evaluation of Image Enhancement Techniques for Electrical Capacitance Tomography Applications,Tanzania Journal of Science,49,116-129
Alfred John Mwambela,"Shayo E. I., Abdalla A. T., Mwambela A. J.",2023,Dynamic multi-frame multi-spreading factor scheduling algorithm for LoRaWAN,Journal of Electrical Systems and Information Technology,10,11
Ally Tahir Bitebo,"Mushi A. T., Justo J. J., Katemi R. J., Wikedzi A. W., Bitebo A. T., Mwakijale J. S., Chibwana F. D., Katandukila J. V., Budeba M. D.",2023,Digitalization of Tanzania Health Care Services: Telemedicine Infrastructures to Link Rural and Urban Areas,MUST Journal of Research and Development,2,12-12
Ally Tahir Bitebo,"Mathenge V. W., Sambaiga R., Bitebo A., Mushashu A., Sang M.'anya, Shaweji F., Mbwilo G., Mayao V., Mlembwa J., Rangi J., Onuekwe C., Kileo N., Mwengee W., Sagoe C.-Moses",2023,"The development of a digital NGO mapping platform in Tanzania, as a tool to strengthen civil society engagement, in pursuit of Universal Health Coverage",Pan Afr. med. j,N/A,N/A
Aron Wajanga Kondoro,"Maro S., Kondoro A., Mtebe J.",2023,Using Mentimeter to Enhance Students’ Engagement in Large University Classes-A Survey of Students’ Perceptions,N/A,N/A,1-8
Aron Wajanga Kondoro,"Kondoro A., Maro S., Mtebe J., Proctor J., Komba A., HAßLER B.",2023,Towards Improving the Accessibility and Usability of a Mobile-based Learning Management System for Blind Primary School Teachers,N/A,N/A,1-10
Aron Wajanga Kondoro,"Namane S., Ahmim M., Kondoro A., Dhaou I. B.",2023,Blockchain-Based Authentication Scheme for Collaborative Traffic Light Systems Using Fog Computing,Electronics,12,431
Aron Wajanga Kondoro,"Kondoro A., Maro S., Mtebe J., Haßler B., Proctor J.",2023,Usability Testing of a Mobile-Based Learning Management System for Teacher Continuous Professional Development in Tanzania.,International Journal of Education and Development using Information and Communication Technology,19,75-92
Aron Wajanga Kondoro,"Maro M. S., Kondoro A., Haßler B., Mtebe J., Proctor J.",2023,Deployment of Offline Learning Management Systems: Comparing the Performance of Selected Micro-Servers in Tanzania.,Journal of Learning for Development,10,280-296
Baraka Jacob Maiseli,"Bua A., Kapyela G., Massawe L., Maiseli B.",2024,Edge-aware nonlinear diffusion-driven regularization model for despeckling synthetic aperture radar images,EURASIP Journal on Image and Video Processing,2024,5
Baraka Jacob Maiseli,"Maiseli B., Abdalla A. T., Massawe L. V., Mbise M., Mkocha K., Nassor N. A., Ismail M., Michael J., Kimambo S.",2023,"Brain–computer interface: trend, challenges, and threats",Brain informatics,10,20
Baraka Jacob Maiseli,"Msuya H., Maiseli B. J.",2023,"Deep Learning Model Compression Techniques: Advances, Opportunities, and Perspective",Tanzania Journal of Engineering and Technology,42,65-83
Baraka Jacob Maiseli,"Mkemwa F., Abdalla A. T., Maiseli B., Amour I., Muqaibel A.",2023,Effective path-loss compensation model based on multipath exploitation for through-the-wall radar imaging,EURASIP Journal on Advances in Signal Processing,2023,42
Baraka Jacob Maiseli,"Mbembati H., Ibwe K., Maiseli B.",2023,Maintenance Scheduling Algorithm for Transformers in Tanzania Electrical Secondary Distribution Networks,Tanzania Journal of Science,49,167-182
Baraka Jacob Maiseli,Maiseli B.,2023,Nonlinear anisotropic diffusion methods for image denoising problems: Challenges and future research opportunities,Array,17,100265
Ellen Ambakisye Kalinga,"Kalinga E., Nyamle E., Abdalla A.",2023,Modelling Prediction of Cities Real Estate Price Trend Using Recurrent Neural Network: A Case of Dar es Salaam City,Tanzania Journal of Engineering and Technology,42,64-77
Ellen Ambakisye Kalinga,"Kalinga E. A., Bazila S., Ibwe K., Abdalla A. T.",2023,Cognitive internet of things-based framework for efficient consumption of electrical energy in public higher learning institutions,Journal of Electrical Systems and Information Technology,10,19
Ellen Ambakisye Kalinga,"Msangawale E. M., Kalinga E., Kimaro H., Igira F.",2023,Exploring the Challenges Facing the ICT Industry Innovation Processes in Tanzania,International Journal of ICT Research in Africa and the Middle East (IJICTRAME),12,1-13
Fatuma Ikuja Simba,"Lema H., Simba F., Mushi J.",2023,Security Enhancement of SIP Protocol in VoIP Communication,Journal of ICT Systems,1,71-92
Fatuma Ikuja Simba,"Amour I. S., Abdalla A. T., Simba F., Kitta S.",2023,Humanization of Online Mathematics Questions Development and Logical Grading Techniques,N/A,N/A,N/A
Fatuma Ikuja Simba,"Amour I. S., Simba F., Kitta S., Abdalla A. T.",2023,Digitisation of Classical Exercise Practices with STACK: Management of Large Mathematics Classes in Higher Education Institutions,Tanzania Journal of Science,49,921-929
Fatuma Ikuja Simba,"Magolanga E. M., Michael A., Simba F.",2023,The Use of Online Social Media Platforms by Tanzania Journalists to Produce and Disseminate Development News,Tanzania Journal of Engineering and Technology,41,N/A
Florian  Mkemwa,"Mkemwa F., Abdalla A. T., Maiseli B., Amour I., Muqaibel A.",2023,Effective path-loss compensation model based on multipath exploitation for through-the-wall radar imaging,EURASIP Journal on Advances in Signal Processing,2023,42
Hashimu Uledi Iddi,"Mudhivarthi B. R., Thakur P., Iddi H. U., Singh G.",2023,Enhanced Message Authentication Code for Controller Area Network,N/A,N/A,1-6
Hellen Henry Maziku,"Maziku H., Kateule R., Tlemu E.",2024,Usability and Acceptability of a SWASH Mobile Intervention for Behaviour Change in WASH Practices,East African Journal of Information Technology,7,39-50
Hellen Henry Maziku,"Masua B., Masasi N., Maziku H., Mbwilo B.",2023,The Impact of Applying Different Pre-Processing Techniques on Swahili Textual Data Using Doc2Vec,Natural Language Processing Research,3,1-13
James Samwel Chambua,"Duma R. A., Niu Z., Nyamawe A., Tchaye J.-Kondi, Chambua J., Yusuf A. A.",2024,"DHMFRD–TER: a deep hybrid model for fake review detection incorporating review texts, emotions, and ratings",Multimedia Tools and Applications,83,4533-4549
James Samwel Chambua,"Tunga M., Lungo J. H., Chambua J., Kateule R., Lyatuu I.",2023,Exploring challenges and recommendations for verbal autopsy implementation in low-/middle-income countries: a cross-sectional study of Iringa Region—Tanzania,BMJ open,13,e075399
Jimmy Tibangayuka Mbelwa,"Barongo R. I., Mbelwa J. T.",2024,Using machine learning for detecting liquidity risk in banks,Machine Learning with Applications,15,100511
Jimmy Tibangayuka Mbelwa,"Magashi C. H., Agbinya J., Sam A., Mbelwa J.",2024,Prediction of SACCOS Failure in Tanzania using Machine Learning Models,"Engineering, Technology & Applied Science Research",14,12887-12891
Jimmy Tibangayuka Mbelwa,"Moyo R., Ndebvu S., Zimba M., Mbelwa J.",2023,Using CNN to Detect the Use of Mobile Phone in Examination Rooms,N/A,N/A,N/A
Jimmy Tibangayuka Mbelwa,"Magashi C., Sam A., Agbinya J., Mbelwa J.",2023,Indicative Factors for SACCOs Failure in Tanzania,"Engineering, Technology & Applied Science Research",13,11177-11181
Jimmy Tibangayuka Mbelwa,"Moyo R., Ndebvu S., Zimba M., Mbelwa J.",2023,A Video-based Detector for Suspicious Activity in Examination with OpenPose,arXiv preprint arXiv:2307.11413,N/A,N/A
Jimmy Tibangayuka Mbelwa,"Kivaisi A. R., Zhao Q., Mbelwa J. T.",2023,Swahili Speech Dataset Development and Improved Pre-training Method for Spoken Digit Recognition,ACM Transactions on Asian and Low-Resource Language Information Processing,22,1-24
Jimmy Tibangayuka Mbelwa,"Mbelwa J., Agbinya J., Mwita M., Sam A.",2023,The Effect of Hyperparameter Optimization on the Estimation of Performance Metrics in Network Traffic Prediction using the Gradient Boosting Machine Model,N/A,N/A,N/A
Joel Samson Mtebe,"Kondoro A., Maro S., Mtebe J., HAßLER B., Proctor J.",2023,Usability Testing of a Mobile-based Learning Management System for Teacher Continuous Professional Development in Tanzania,International Journal of Education and Development using Information and Communication,19,75-92
Joel Samson Mtebe,"Maro S., Kondoro A., Haßler B., Mtebe J., Proctor J.",2023,Deployment of Offline Learning Management Systems: Comparing the Performance of Selected Micro-servers in Tanzania,Journal of Learning for Development,10,N/A
Joel Samson Mtebe,"Maro S., Kondoro A., Mtebe J.",2023,Using Mentimeter to Enhance Students’ Engagement in Large University Classes-A Survey of Students’ Perceptions,N/A,N/A,N/A
Joel Samson Mtebe,"Kondoro A., Maro S., Mtebe J., Proctor J., Komba B., Aneth, HAßLER",2023,Towards Improving the Accessibility and Usability of a Mobile-based Learning Management System for Blind Primary School Teachers,N/A,N/A,1-10
Joel Samson Mtebe,"Haßler B., Peralta X. V., Macharia G., Toyinbo O., Nambatya M., Mtebe J., Schaffer J., Wargocki P., Adam T.",2023,"Improving Learning Through Classroom Experience in East Africa: Temperature, Lighting, and Sound Quality",N/A,N/A,N/A
Joel Samson Mtebe,"Raphael C., Mtebe J. S.",2023,Understanding teachers’ technological and pedagogical knowledge at the University of Dar es Salaam in the New Normal Era: Situating teaching in the TPACK Framework,University of Dar es Salaam Library Journal,18,N/A
Joseph Cosmas Mushi,"Lema H., Simba F., Mushi J.",2023,Security Enhancement of SIP Protocol in VoIP Communication,Journal of ICT Systems,1,71-92
Joseph Cosmas Mushi,"Abdul-Ali m., Mushi J.",2023,Investigation of a Suitable Hybrid Time Series Model for Predicting Clove Price,Journal of ICT Systems,1,1-16
Kwame  Salum Ibwe,Ibwe K. S.,2023,Principles of Practical Electronics,N/A,1,238
Kwame  Salum Ibwe,"Gadiel G. M., Ibwe K., Abdalla A. T.",2023,Energy efficient phase interpolator based hybrid beamforming architecture for massive MIMO system,Telecommunication Systems,N/A,1-10
Kwame  Salum Ibwe,"ABDALLA A., Ibwe K.",2023,Smart Grid in Tanzania: Research Opportunities,Tanzania Journal of Engineering and Technology,42,170-183
Kwame  Salum Ibwe,"Mbembati H., Ibwe K., Maiseli B.",2023,Maintenance Scheduling Algorithm for Transformers in Tanzania Electrical Secondary Distribution Networks,Tanzania Journal of Science,49,167-182
Kwame  Salum Ibwe,"Kalinga E. A., Bazila S., Ibwe K., Abdalla A. T.",2023,Cognitive internet of things-based framework for efficient consumption of electrical energy in public higher learning institutions,Journal of Electrical Systems and Information Technology,10,19
Kwame  Salum Ibwe,"Ibwe K., Pande S., Abdalla A. T., Gadiel G. M.",2023,Indoor positioning using circle expansion-based adaptive trilateration algorithm,Journal of Electrical Systems and Information Technology,10,10
Leonard Peter Binamungu,"Binamungu L. P., Maro S.",2023,Behaviour driven development: A systematic mapping study,Journal of Systems and Software,N/A,111749
Leonard Peter Binamungu,"Binamungu L. P., Mahundi M.",2023,Investigating the Support for Agility in Developing Government Software Systems: A Case of Three East African Countries,Tanzania Journal of Engineering and Technology,41,N/A
Libe Valentine Massawe,"Bua A., Kapyela G., Massawe L., Maiseli B.",2024,Edge-aware nonlinear diffusion-driven regularization model for despeckling synthetic aperture radar images,EURASIP Journal on Image and Video Processing,2024,5
Libe Valentine Massawe,"Maiseli B., Abdalla A. T., Massawe L. V., Mbise M., Mkocha K., Nassor N. A., Ismail M., Michael J., Kimambo S.",2023,"Brain–computer interface: trend, challenges, and threats",Brain informatics,10,20
Masoud Hussein Mahundi,"Kagoye S., Minja J., Ricardo L., Shabani J., Bajaria S., Msuya S., Hanson C., Mahundi M., Msuya I., Simba D., Ismail H., Boerma T., Masanja H.",2024,"High Child Mortality and Interventions Coverage in the City of Dar es Salaam, Tanzania: Are the Poorest Paying an Urban Penalty?",Journal of Urban Health,N/A,1-15
Masoud Hussein Mahundi,"Shabani J., Masanja H., Kagoye S., Minja J., Bajaria S., Mlacha Y., Msuya S., Masoud M., Simba D., Pembe A. B., Makuwani A. M., Ismail H., Chacha M., Kumalija C., Boerma T., Hanson C.",2023,Quality of reporting and trends of emergency obstetric and neonatal care indicators: an analysis from Tanzania district health information system data between 2016 and 2020,BMC Pregnancy and Childbirth,23,716
Masoud Hussein Mahundi,"Binamungu L. P., Mahundi M.",2023,Investigating the Support for Agility in Developing Government Software Systems: A Case of Three East African Countries,Tanzania Journal of Engineering and Technology,41,N/A
Mercy Ellyns Mbise,"Maiseli B., Abdalla A. T., Massawe L. V., Mbise M., Mkocha K., Nassor N. A., Ismail M., Michael J., Kimambo S.",2023,"Brain–computer interface: trend, challenges, and threats",Brain informatics,10,20
Mercy Ellyns Mbise,"Kigombola A., Mbise M., Mafole P.",2023,Path of Trust: An Off-Chain Performance Enhancement Algorithm for Public Blockchains,Tanzania Journal of Engineering and Technology,42,44-54
Mercy Ellyns Mbise,"Kigombola A., Mbise M., Mafole P.",2023,"Dinari: A Blockchain Lab for Supporting Blockchain Learning, Research, and Innovation in Tanzania",Journal of ICT Systems,1,19-31
Mercy Ellyns Mbise,"Kigombola A., Mbise M., Mafole P.",2023,On Blockchain Performance Enhancement: A Systematic Map of Strategies Used,Tanzania Journal of Engineering and Technology,41,N/A
Mussa Muhidini Kissaka,"Misso A., Kissaka M.",2024,Pilot contamination mitigation by pilot assignment and adaptive linear precoding for massive MIMO multi-cell systems,Telecommunication Systems,N/A,1-12
Ruthbetha Beatus Kateule,"Maziku H., Kateule R., Tlemu E.",2024,Usability and Acceptability of a SWASH Mobile Intervention for Behaviour Change in WASH Practices,East African Journal of Information Technology,7,39-50
Ruthbetha Beatus Kateule,"Tunga M., Lungo J. H., Chambua J., Kateule R., Lyatuu I.",2023,Exploring challenges and recommendations for verbal autopsy implementation in low-/middle-income countries: a cross-sectional study of Iringa Region—Tanzania,BMJ open,13,e075399
Ruthbetha Beatus Kateule,"Kateule R., Sakala L. A., Tunga M.",2023,Short-Term Energy Load Forecasting Model with Sample Filtering,Tanzania Journal of Science,49,130-139
Salome  Maro,"Maro S., Kondoro A., Haßler B., Mtebe J., Proctor J.",2023,Deployment of Offline Learning Management Systems: Comparing the Performance of Selected Micro-servers in Tanzania,Journal of Learning for Development,10,280-296
Salome  Maro,"Maro S., Kondoro A., Mtebe J.",2023,Using Mentimeter to Enhance Students’ Engagement in Large University Classes-A Survey of Students’ Perceptions,N/A,N/A,1-8
Salome  Maro,"Kondoro A., Maro S., Mtebe J., Proctor J., Komba A., HAßLER B.",2023,Towards Improving the Accessibility and Usability of a Mobile-based Learning Management System for Blind Primary School Teachers,N/A,N/A,1-10
Salome  Maro,"Binamungu L. P., Maro S.",2023,Behaviour driven development: A systematic mapping study,Journal of Systems and Software,N/A,111749
Salome  Maro,"Kondoro A., Maro S., Mtebe J., Haßler B., Proctor J.",2023,Usability Testing of a Mobile-Based Learning Management System for Teacher Continuous Professional Development in Tanzania.,International Journal of Education and Development using Information and Communication Technology,19,75-92
Shamte Juma Kawambwa,"Mnyanghwalo D. C., Kawambwa S. J.",2024,Sensor placement algorithm for faults detection in electrical secondary distribution network using dynamic programming method: focusing on dynamic change and expansion of the …,Journal of Electrical Systems and Information Technology,11,13
Shamte Juma Kawambwa,"Mwifunyi R. J., Mnyanghwalo D. C., Kawambwa S. J.",2023,Enhancing Service Restoration in Tanzanian Power Grid Using Internet of Things Sensors and Renewable Energy Sources,Tanzania Journal of Science,49,643-655
Shamte Juma Kawambwa,"Kawambwa S., Mnyanghwalo D.",2023,A cloud based model symbiotic organism search algorithm for placement of distributed energy resources in the electrical secondary distribution networks,Tanzania Journal of Science,49,62-75
Shamte Juma Kawambwa,"Kawambwa S., Mnyanghwalo D.",2023,A multi-agent-based symbiotic organism search algorithm for DG coordination in electrical distribution networks,Journal of Electrical Systems and Information Technology,10,6
